2022-10-07 18:45:25.378321,-96,-40,263680,65535
2022-10-07 18:45:25.429612,-96,-32,286720,65535
2022-10-07 18:45:25.480903,-96,-24,386560,65535
2022-10-07 18:45:25.532237,-96,-16,855040,65535
2022-10-07 18:45:25.583524,-96,-8,3438080,65535
2022-10-07 18:45:25.634954,-96,127,130560,65535
2022-10-07 18:45:25.686282,-96,120,133120,65535
2022-10-07 18:45:25.737664,-96,112,133120,65535
2022-10-07 18:45:25.789009,-96,104,133120,65535
2022-10-07 18:45:25.840458,-96,96,133120,65535
2022-10-07 18:45:26.392465,-96,88,133120,65535
2022-10-07 18:45:26.443745,-96,80,133120,65535
2022-10-07 18:45:26.495149,-96,72,138240,65535
2022-10-07 18:45:26.546485,-96,64,184320,65535
2022-10-07 18:45:26.597797,-96,56,253440,65535
2022-10-07 18:45:26.649206,-96,48,258560,65535
2022-10-07 18:45:26.700507,-96,40,263680,65535
2022-10-07 18:45:26.751787,-96,32,294400,65535
2022-10-07 18:45:26.803132,-96,24,453120,65535
2022-10-07 18:45:26.854520,-96,16,1180160,65535
2022-10-07 18:45:27.406457,-96,8,5158400,65535
2022-10-07 18:45:27.457741,-96,0,8117760,65535
2022-10-07 18:45:27.509086,-88,-127,130560,65535
2022-10-07 18:45:27.560374,-88,-120,130560,65535
2022-10-07 18:45:27.611654,-88,-112,130560,65535
2022-10-07 18:45:27.663121,-88,-104,130560,65535
2022-10-07 18:45:27.714511,-88,-96,130560,65535
2022-10-07 18:45:27.765795,-88,-88,130560,65535
2022-10-07 18:45:27.817270,-88,-80,130560,65535
2022-10-07 18:45:27.868540,-88,-72,135680,65535
2022-10-07 18:45:28.420557,-88,-64,186880,65535
2022-10-07 18:45:28.471870,-88,-56,258560,65535
2022-10-07 18:45:28.523210,-88,-48,261120,65535
2022-10-07 18:45:28.574478,-88,-40,268800,65535
2022-10-07 18:45:28.625743,-88,-32,337920,65535
2022-10-07 18:45:28.677025,-88,-24,583680,65535
2022-10-07 18:45:28.728479,-88,-16,2035200,65535
2022-10-07 18:45:28.779756,-88,-8,9484800,65535
2022-10-07 18:45:28.831140,-88,127,133120,65535
2022-10-07 18:45:28.882167,-88,120,133120,65535
2022-10-07 18:45:29.433981,-88,112,133120,65535
2022-10-07 18:45:29.485179,-88,104,133120,65535
2022-10-07 18:45:29.536578,-88,96,133120,65535
2022-10-07 18:45:29.587857,-88,88,133120,65535
2022-10-07 18:45:29.639256,-88,80,133120,65535
2022-10-07 18:45:29.690572,-88,72,138240,65535
2022-10-07 18:45:29.741854,-88,64,184320,65535
2022-10-07 18:45:29.793162,-88,56,256000,65535
